,mlb_name,pitch_type,quality,ball_pct,strike_pct,foul_pct,in_play_pct,pitch_count,avg_qual,pitch_name
104320,Ariel Hernandez,CH,0.40357142857142847,0.5,0.4642857142857143,0.0,0.03571428571428571,28.0,0.12765397399004674,Changeup
104686,Shelby Miller,FF,0.1586376021798365,0.3569482288828338,0.2670299727520436,0.21525885558583105,0.16076294277929154,367.0,0.1603646846323446,Four-seam Fastball
104687,Shelby Miller,CU,0.13360824742268032,0.4742268041237113,0.32989690721649484,0.08247422680412371,0.1134020618556701,97.0,0.17778582610313318,Curveball
104689,Shelby Miller,FC,0.2618987341772151,0.33544303797468356,0.34177215189873417,0.17088607594936708,0.1518987341772152,158.0,0.1565383301837312,Cutter
104692,Shelby Miller,FT,0.04673913043478267,0.34782608695652173,0.2608695652173913,0.13043478260869565,0.2608695652173913,46.0,0.09296613721316117,Two-seam Fastball
105360,Tyler Anderson,FF,0.14820192307692445,0.3278846153846154,0.2759615384615385,0.21057692307692308,0.18557692307692308,1040.0,0.1603646846323446,Four-seam Fastball
105366,Tyler Anderson,CH,0.15527156549520868,0.3722044728434505,0.2795527156549521,0.15495207667731628,0.19329073482428116,626.0,0.12765397399004674,Changeup
105368,Tyler Anderson,FC,0.18114436619718438,0.3644366197183099,0.2992957746478873,0.18485915492957747,0.15140845070422534,568.0,0.1565383301837312,Cutter
105442,Tyler Anderson,CU,0.18263157894736848,0.47368421052631576,0.3684210526315789,0.05263157894736842,0.10526315789473684,38.0,0.17778582610313318,Curveball
105687,Tyler Anderson,FT,0.07348837209302328,0.3953488372093023,0.23255813953488372,0.16279069767441862,0.20930232558139536,43.0,0.09296613721316117,Two-seam Fastball
107675,Archie Bradley,FF,0.22663425579655852,0.30665669409124907,0.3118922961854899,0.2236350037397158,0.15781600598354525,1337.0,0.1603646846323446,Four-seam Fastball
107682,Archie Bradley,KC,0.08344444444444418,0.45,0.2722222222222222,0.10555555555555556,0.17222222222222222,360.0,0.20281804454510868,Knuckle-curve
107707,Archie Bradley,CH,0.4545454545454547,0.2727272727272727,0.45454545454545453,0.18181818181818182,0.09090909090909091,11.0,0.12765397399004674,Changeup
107863,Archie Bradley,SL,0.10250000000000017,0.35,0.225,0.25,0.175,40.0,0.20810453817692648,Slider
109432,Antonio Senzatela,FF,0.13064531323598713,0.3405558172397551,0.28638718794159207,0.17522373999057936,0.19783325482807348,2123.0,0.1603646846323446,Four-seam Fastball
109440,Antonio Senzatela,CH,0.03088607594936716,0.569620253164557,0.22784810126582278,0.0759493670886076,0.12658227848101267,79.0,0.12765397399004674,Changeup
109453,Antonio Senzatela,SL,0.09863849765258213,0.41784037558685444,0.26134585289514867,0.13928012519561817,0.18153364632237873,639.0,0.20810453817692648,Slider
111241,Antonio Senzatela,CU,0.16551724137931018,0.5,0.29310344827586204,0.13793103448275862,0.06896551724137931,116.0,0.17778582610313318,Curveball
112398,Keyvius Sampson,FF,0.09836065573770499,0.4098360655737705,0.2459016393442623,0.18032786885245902,0.16393442622950818,61.0,0.1603646846323446,Four-seam Fastball
112402,Keyvius Sampson,SL,-0.14823529411764705,0.6470588235294118,0.17647058823529413,0.0,0.17647058823529413,17.0,0.20810453817692648,Slider
